channel_id,channel_name,sector
UCIEv3lZ_tNXHzL3ox-_uUGQ,Gordon Ramsay,Comedy
UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut,Comedy
UCGmnsW623G1r-Chmo5RB4Yw,KSI,Comedy
UCPDis9pjXuqyI7RYLJ-TTSA,FailArmy,Comedy
UCGwu0nbY2wSkW8N-cghnLpA,JaidenAnimations,Comedy
UCUsN5ZwHx2kILm84-jPDeXw,Comedy Central,Comedy
UCtHaxi4GTYDpJgMSGy7AeSw,Michael Reeves,Comedy
UC_zEzzq54Rm0iy7lmmZbCIg,America's Funniest Home Videos,Comedy
UCn1XB-jvmd9fXMzhiA6IR0w,Domics,Comedy
UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott,Comedy
UCaFUrR3oSxOl5Y9y6tvLTEg,WillNE,Comedy
UC8bTQzxgvKkXDAaWkeuUlkg,Trevor Noah,Comedy
UCAzKFALPuF_EPe-AEI0WFFw,TwoSetViolin,Comedy
UCtMVHI3AJD4Qk4hcbZnI9ZQ,SomeOrdinaryGamers,Comedy
UCz7iJPVTBGX6DNO1RNI2Fcg,GradeAUnderA,Comedy
UCarEovlrD9QY-fy-Z6apIDQ,Hasan Minhaj,Comedy
UCOkL7q2SeGZeZuj22njMYEA,Caddicarus,Comedy
UCnNZkGsAg0chPOqvl7dvpDA,Jukin Media,Comedy
UCK7lKOYd46F7G5JGFadC_ew,ComingSoon.net,Comedy
UC9nx3aMwiFvKiDdFBZ28hsQ,Nicholas,Comedy
UCizh9-F6U6who-cVcjNjLTg,StephenCOlbert,Comedy
UCGJg_klhvb1-Wcl4zgy8gwQ,OverLord,Comedy
UCv3iEi1J14H3H7aevnmJYXg,Quentin Reviews,Comedy
UCxtM64AVo2oij76zH3w2s-w,scottishtwins,Comedy
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,Education
UCAuUUnT6oDeKwE6v1NGQxug,TED,Education
UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,Education
UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,Education
UCFhXFikryT4aFcLkLw2LBLA,NileRed,Education
UCNIuvl7V8zACPpTmmNIqP2A,OverSimplified,Education
UC4a-Gbdw7vOaccHmFo40b9g,Khan Academy,Education
UCvQECJukTDE2i6aCoMnS-Vg,Big Think,Education
UCP5tjEmvPItGyLhmjdwP7Ww,RealLifeLore,Education
UCEBb1b_L6zDS3xTUrIALZOw,MIT OpenCourseWare,Education
UCj1VqrHhDte54oLgPG4xpuQ,Stuff Made Here,Education
UCm9K6rby98W8JigLoZOh6FQ,LockPickingLawyer,Education
UCsBjURrPoezykLs9EqgamOA,Fireship,Education
UCHsRtomD4twRf5WVHHk-cMw,TierZoo,Education
UCmmPgObSUPw1HL2lq6H4ffA,Geography Now,Education
UCeiYXex_fwgYDonaTcSIk6w,MinuteEarth,Education
UC64UiPJwM_e9AqAd7RiD7JA,Today I Found Out,Education
UCuCkxoKLYO_EQ2GeFtbM_bw,Half as Interesting,Education
UC-9b7aDP6ZN0coj9-xFnrtw,Astrum,Education
UCdp4_l1vPmpN-gDbUwhaRUQ,Branch Education,Education
UC29ju8bIPH5as8OGnQzwJyA,Traversy Media,Education
UC22BdTgxefuvUivrjesETjg,History Matters,Education
UC3VWbWk8qDBiF0741izgpQg,Med School Insiders,Education
UC1yNl2E66ZzKApQdRuTQ4tw,Sabine Hossenfelder,Education
UC1znqKFL3jeR0eoA0pHpzvw,SpaceRip,Education
UC8rtn6Tyl4SQnHOStFFz2EA,ActionLab,Education
UCke6I9N4KfC968-yRcd5YRg,SSundee,Gaming
UCzYfz8uibvnB7Yc1LjePi4g,Aphmau,Gaming
UCw1SQ6QRRtfAhrN_cjkrOgA,LazarBeam,Gaming
UCKy1dAqELo0zrOtPkf0eTMw,IGN,Gaming
UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0,Gaming
UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,Gaming
UC5p_l5ZeB_wGjO_yDXwiqvw,TommyInnit,Gaming
UChd1FPXykD4pust3ljzq6hQ,Thinknoodles,Gaming
UCshoKvlZGZ20rVgazZp5vnQ,CaptainSparklez,Gaming
UCGIY_O-8vW4rfX98KlMkvRg,Nintendo of America,Gaming
